"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"32",0,0,0,0,0,0.000375234521575985,0,0,0,0.000375234521575985,0,0.0367729831144465,0.321013133208255,0.153095684803002,0,0,0,0.0354596622889306,0,0,0.000562851782363977,0.0697936210131332,0.00168855534709193,0,0,0,0.0114446529080675,0,0.0178236397748593,0.00075046904315197,0.0110694183864916,0,0,0,0.00187617260787992,0.000187617260787992,0,0,0,0,0.123076923076923,0,0,0.0378986866791745,0.00431519699812383,0,0.0615384615384615,0.00206378986866792,0.00881801125703565,0.1
"33",0.00250048086170417,0.0051933064050779,0,0,0,0.00423158299673014,0,0.000577034045008655,0.00365454895172148,0,0,0.0332756299288325,0,0.138872860165416,0.000961723408347759,0.00211579149836507,0,0.00634737449509521,0,0,0.310059626851318,0.103289094056549,0,0,0,0,0,0,0.0144258511252164,0,0.00500096172340835,0,0,0.000384689363339104,0.000192344681669552,0,0,0,0,0,0.0525100980957877,0,0,0.0777072513944989,0,0.00615502981342566,0.179265243316022,0.00788613194845163,0.0234660511636853,0.0219272937103289
"34",0,0,0,0,0,0.000648929266709929,0,0,0.246593121349773,0.000648929266709929,0,0.111615833874108,0,0.189487345879299,0,0,0.000648929266709929,0.0681375730045425,0,0,0.000648929266709929,0.0168721609344581,0,0,0,0,0,0.0480207657365347,0.141466580142764,0,0.000648929266709929,0,0.00194678780012979,0,0.0103828682673589,0,0,0,0,0,0.105126541207008,0,0,0.0259571706683971,0.00324464633354964,0.000648929266709929,0.0142764438676184,0,0.00843608046722907,0.0045425048669695
"35",0.00605361775727876,0.0129720380513116,0,0,0,0,0,0.00144133756125685,0.0288267512251369,0,0,0.112712597290285,0.00288267512251369,0.133179590660133,0,0,0,0.0547708273277602,0.0112424329778034,0,0,0.024214471029115,0,0.00576535024502739,0,0.0181608532718363,0.00490054770827328,0.00345921014701643,0.329778034015566,0.00115307004900548,0.0175843182473335,0,0.00144133756125685,0.000864802536754108,0.00605361775727876,0.0541942923032574,0,0,0,0,0.11790141251081,0,0.00230614009801095,0.00980109541654656,0,0.000288267512251369,0.0121072355145575,0.0239262035168637,0,0.00201787258575958
"36",0,0,0.000210970464135021,0,0,0,0,0,0.471097046413502,0,0,0.0253164556962025,0,0.192827004219409,0,0,0,0.0546413502109705,0,0,0.000843881856540084,0.0272151898734177,0.00210970464135021,0,0,0,0,0,0.00316455696202532,0,0.0383966244725738,0.000210970464135021,0,0,0.010337552742616,0.0206751054852321,0,0,0,0,0.0947257383966245,0,0,0.00358649789029536,0,0,0.0533755274261603,0.00105485232067511,0,0.000210970464135021
"37",0,0,0,0,0,0.000330906684315023,0,0.00115817339510258,0,0,0,0.0193580410324289,0,0.127564526803441,0,0.518861681005956,0,0.0177035076108537,0,0,0,0.00264725347452019,0.00115817339510258,0,0,0,0.000165453342157512,0,0.000165453342157512,0,0.0163798808735936,0.000330906684315023,0,0,0.0218398411647915,0,0,0.00215089344804765,0,0,0.0474851091992058,0,0,0.114493712772998,0.000165453342157512,0.000165453342157512,0.0911647915287889,0,0,0.0167107875579087
"38",0.00663227708179808,0.0046671579464505,0.00712355686563498,0,0.324981577008106,0.00933431589290101,0,0,0.0508474576271186,0,0,0.119626627364284,0,0.113731269958241,0,0,0,0.0707442888725129,0,0,0.000245639891918448,0.00147383935151069,0,0.00908867600098256,0,0,0,0.0240727094080079,0.0916236796855809,0.000245639891918448,0,0,0,0,0.0127732743797593,0,0,0.0184229918938836,0,0,0.0550233357897323,0,0,0.037337263571604,0,0,0.0201424711373127,0.0216163104888234,0.000245639891918448,0
"39",0,0,0,0,0,0,0,0,0.000360100828231905,0,0,0.0594166366582643,0.00864241987756572,0.216060496939143,0,0.00108030248469571,0,0.0500540151242348,0,0.00108030248469571,0.00432120993878286,0.0939863161685272,0,0,0,0,0.000360100828231905,0,0,0,0.27223622614332,0,0,0,0.0108030248469571,0,0,0,0,0,0.09074540871444,0,0,0.0410514944184372,0,0,0.116312567518905,0.00072020165646381,0.01512423478574,0.0176449405833633
"40",0,0,0.439615384615385,0,0,0,0.00153846153846154,0,0,0,0,0.0684615384615385,0,0.206153846153846,0,0,0,0.0992307692307692,0,0,0,0.0119230769230769,0,0.0126923076923077,0,0.00653846153846154,0,0.00192307692307692,0.0123076923076923,0.000384615384615385,0,0,0,0,0,0.0119230769230769,0,0,0,0,0.0873076923076923,0,0,0.0230769230769231,0,0,0.0142307692307692,0,0.000384615384615385,0.00230769230769231
"41",0,0,0,0,0,0,0.000561324726354196,0,0.0162784170642717,0,0,0.139769856862195,0,0.144541117036205,0.00701655907942745,0,0,0.0839180465899523,0,0,0,0,0.00196463654223969,0,0,0.0154364299747404,0.00364861072130227,0.0432220039292731,0.0415380297502105,0.017120404153803,0.000280662363177098,0.0423800168397418,0.00729722144260455,0,0.048835251192815,0,0,0,0.00308728599494808,0.00477126017401067,0.0204883525119282,0.051641874824586,0.182711198428291,0.045747965197867,0.000561324726354196,0,0.0123491439797923,0.0648330058939096,0,0
"42",0,0,0,0.000555247084952804,0,0,0,0,0,0,0,0.0449750138811771,0,0.171571349250416,0,0,0,0.0260966129927818,0,0,0,0.0966129927817879,0,0.0810660744031094,0,0,0.0105496946141033,0,0.00610771793448084,0,0.0222098833981122,0,0,0,0.0349805663520267,0,0,0,0,0,0.0699611327040533,0,0,0.233203775680178,0,0,0.169905607995558,0,0,0.0322043309272626
"43",0,0.0130718954248366,0,0,0,0,0.017516339869281,0.000261437908496732,0.00575163398692811,0,0,0.145359477124183,0,0.128366013071895,0,0,0.00496732026143791,0.0287581699346405,0,0,0,0,0,0.00392156862745098,0,0,0.00601307189542484,0.0130718954248366,0.277908496732026,0,0.000784313725490196,0.00705882352941176,0.12078431372549,0.0143790849673203,0.00366013071895425,0.00366013071895425,0.00339869281045752,0.00836601307189543,0.00470588235294118,0,0.0541176470588235,0,0.00575163398692811,0.0250980392156863,0,0.00836601307189543,0.0188235294117647,0.0726797385620915,0.00130718954248366,0.00209150326797386
"44",0,0.0179119754350051,0.00562947799385875,0,0,0,0,0.360116001364722,0,0,0,0.0690890481064483,0,0.173660866598431,0,0,0,0.100307062436029,0,0,0,0.00136472193790515,0,0.00665301944728762,0,0.000682360968952576,0,0.00511770726714432,0.00460593654042989,0.0170590242238144,0,0,0,0.0121119071989082,0.0424769703172979,0,0,0,0.0172296144660525,0,0.124189696349369,0,0,0.0168884339815763,0.0117707267144319,0.00631183896281133,0.00238826339133402,0,0,0.00443534629819174
"45",0,0,0,0,0,0.0022883295194508,0,0,0.00028604118993135,0,0,0.137871853546911,0,0.136155606407323,0.316647597254005,0,0,0.257437070938215,0,0,0,0.00371853546910755,0,0,0,0,0,0,0.00600686498855835,0,0.00085812356979405,0,0,0,0.0148741418764302,0.0005720823798627,0,0,0.0017162471395881,0,0.100686498855835,0,0,0.011441647597254,0.00657894736842105,0,0.00085812356979405,0,0,0.00200228832951945
"46",0,0.0145492038034139,0,0,0,0,0,0.0430748081108947,0.000572803299347004,0.000343681979608203,0,0.0576240119143086,0,0.0910757245961737,0,0,0,0.0441058540497193,0,0,0,0.000229121319738802,0,0,0,0,0,0.00710276091190285,0.00435330507503723,0.00985221674876847,0.000114560659869401,0,0,0,0.0326497880627792,0.000229121319738802,0,0,0.576927483102303,0,0.0658723794249055,0,0,0.0389506243555963,0,0,0.0119143086264177,0.000458242639477603,0,0
"47",0,0,0,0,0,0,0.000694444444444444,0.00138888888888889,0,0,0,0.0284722222222222,0,0.172222222222222,0,0,0,0.05625,0,0,0,0.127083333333333,0,0.00138888888888889,0,0,0.000694444444444444,0,0.0576388888888889,0,0.0111111111111111,0.0111111111111111,0,0,0.0291666666666667,0.0208333333333333,0,0,0,0,0.142361111111111,0,0,0.156944444444444,0.169444444444444,0.000694444444444444,0.00555555555555556,0.00208333333333333,0,0.00486111111111111
"48",0,0.0559610705596107,0,0,0,0,0.0024330900243309,0,0,0,0,0.0510948905109489,0,0.145985401459854,0,0,0,0.0194647201946472,0,0,0.0048661800486618,0.121654501216545,0.0072992700729927,0,0,0,0,0,0,0.0097323600973236,0.0389294403892944,0,0,0,0.0340632603406326,0,0,0,0.21654501216545,0,0.0510948905109489,0,0,0.204379562043796,0,0,0.0316301703163017,0,0.0048661800486618,0
"49",0.00185931205453982,0,0.00123954136969321,0,0,0.0167338084908584,0.0176634645181283,0.00433839479392625,0,0,0,0.110938952587543,0,0.111558723272389,0,0,0,0.161450263402541,0.000619770684846607,0,0,0.0148744964363186,0.00743724821815928,0,0,0.00185931205453982,0.00185931205453982,0.0170436938332817,0.0254105980787109,0.00216919739696312,0.0164239231484351,0.30678648899907,0,0,0.010226216299969,0,0,0,0,0,0.0712736287573598,0,0.0089866749302758,0.0247908273938643,0.000309885342423303,0,0.0455531453362256,0.00712736287573598,0.00154942671211652,0.00991633095754571
